region,direction,layout,size,renovation,garden,year,floor,district,price,danjia
东城, 北 , 1室1厅 , 48.54, 简装,富贵园二区 ,2003,18,东花市,530,109189.0
东城, 东 西 , 2室1厅 , 54.29, 简装,西草市东街甲34号院 ,1980,6,天坛,430,79205.0
东城, 南 北 , 3室1厅 , 72.74, 简装,东花市北里中区 ,1994,6,东花市,730,100358.0
东城, 东 西 , 3室2厅 , 148.97, 精装,胜古中路1号院 ,1998,14,安贞,885,59408.0
东城, 南 西 北 , 3室1厅 , 100.88, 精装,交道口东大街 ,2003,12,交道口,1300,128866.0
东城, 南 , 2室1厅 , 106, 精装,西革新里112号院 ,2001,19,永定门,655,61793.0
东城, 南 , 2室1厅 , 91.78, 简装,左安浦园 ,2004,18,左安门,712,77577.0
东城, 南 北 , 2室1厅 , 84.57, 精装,湖景苑 ,2000,10,安定门,890,105239.0
东城, 东 , 2室1厅 , 49.14, 简装,东交民巷32号院 ,1979,13,前门,510,103786.0
东城, 北 , 1室0厅 , 62.22, 精装,领行国际 ,2005,21,广渠门,465,74735.0
东城, 南 北 , 2室1厅 , 66.42, 简装,青年湖东里 ,1992,6,安定门,610,91840.0
东城, 南 , 1室1厅 , 59.18, 精装,新景家园西区 ,2004,14,崇文门,625,105611.0
东城, 南 北 , 3室1厅 , 114.52, 简装,左安浦园 ,2004,16,左安门,799,69770.0
东城, 东 , 1室1厅 , 36.55, 简装,化工大院 ,1988,5,和平里,450,123120.0
东城, 东南 , 1室1厅 , 51.24, 精装,上龙西里 ,1988,18,安定门,530,103435.0
东城, 东 西 , 2室2厅 , 90.38, 简装,东直门内北小街16号 ,2003,10,东直门,830,91835.0
东城, 东 南 , 1室1厅 , 50.01, 简装,永康胡同1号院 ,2002,7,安定门,599,119777.0
东城, 东 西 , 1室1厅 , 58.9, 简装,远洋德邑 ,2003,13,广渠门,530,89984.0
东城, 西南 , 3室2厅 , 133.06, 精装,北京上舍 ,2008,15,广渠门,1390,104465.0
东城, 南 , 2室1厅 , 115.56, 简装,新景家园东区 ,2008,15,崇文门,1100,95189.0
东城, 南 , 2室1厅 , 93.37, 精装,新裕家园 ,2004,15,崇文门,1150,123166.0
东城, 南 北 , 2室1厅 , 64.98, 简装,东直门内大街 ,2003,12,东直门,665,102340.0
东城, 南 北 , 3室1厅 , 78.34, 精装,光明楼 ,1975,4,广渠门,660,84249.0
东城, 南 北 , 2室1厅 , 54.44, 精装,景泰西里 ,1983,6,永定门,415,76231.0
东城, 东 西 , 2室1厅 , 47.32, 精装,花市东三条 ,1987,6,东花市,470,99324.0
东城, 南 北 , 2室1厅 , 64.5, 精装,海运仓小区 ,2003,9,东直门,685,106202.0
东城, 南 , 3室1厅 , 89.39, 简装,东直门南大街 ,1990,18,东直门,785,87818.0
东城, 西 , 2室1厅 , 84.48, 简装,鼎盛园 ,2005,11,永定门,550,65105.0
东城, 南 , 2室1厅 , 71.85, 毛坯,东直门北大街 ,1990,16,东直门,585,81420.0
东城, 南 北 , 2室1厅 , 55.66, 精装,察慈小区 ,1992,12,东直门,545,97916.0
东城, 北 , 1室1厅 , 37.61, 精装,兴隆都市馨园 ,2004,7,崇文门,380,101037.0
东城, 南 北 , 3室1厅 , 91.96, 简装,南竹杆胡同 ,2003,16,朝阳门内,939,102110.0
东城, 南 北 , 2室1厅 , 59.3, 精装,龙潭北里五条 ,1963,5,左安门,519,87522.0
东城, 西北 , 2室1厅 , 74.54, 精装,国瑞城中区 ,2006,16,崇文门,716,96056.0
东城, 东南 , 2室1厅 , 95.11, 简装,建予园 ,2001,16,永定门,620,65188.0
东城, 北 , 1室1厅 , 56.41, 精装,景泰西里西区 ,2005,11,永定门,420,74455.0
东城, 东 , 1室1厅 , 37.35, 简装,安德路55号院 ,1986,6,安定门,435,116466.0
