region,direction,layout,size,renovation,garden,year,floor,district,price,danjia
丰台, 西南 , 2室1厅 , 86.8, 简装,晓月苑五里 ,2003,22,卢沟桥,330,38019.0
丰台, 南 北 , 2室1厅 , 54.22, 简装,南开西里 ,1986,6,看丹桥,265,48875.0
丰台, 南 北 , 1室1厅 , 51.68, 简装,大红门35号院 ,1996,6,角门,279,53987.0
丰台, 西 北 , 2室1厅 , 64.08, 简装,海户西里34号院 ,1998,18,洋桥,365,56961.0
丰台, 南 北 , 3室2厅 , 133.38, 精装,星河城东区 ,2007,9,马家堡,880,65977.0
丰台, 东 南 , 3室2厅 , 143.62, 精装,兆丰园 ,2000,20,青塔,658,45816.0
丰台, 南 北 , 3室2厅 , 129.18, 精装,丽水园 ,2006,9,马家堡,829,64175.0
丰台, 南 , 2室1厅 , 98.29, 精装,风荷曲苑 ,2004,20,六里桥,750,76305.0
丰台, 南 北 , 3室2厅 , 136.17, 精装,长安新城二区 ,2002,11,青塔,795,58383.0
丰台, 南 , 1室1厅 , 45.86, 精装,芳星园三区 ,1994,25,方庄,305,66507.0
丰台, 东北 , 1室1厅 , 68.1, 精装,晶城秀府 ,2010,20,成寿寺,440,64611.0
丰台, 北 , 1室1厅 , 47.35, 简装,星河城西区 ,2006,18,马家堡,336,70961.0
丰台, 南 北 , 3室1厅 , 90.49, 精装,青秀城 ,2012,6,玉泉营,610,67411.0
丰台, 南 北 , 3室1厅 , 117.7, 简装,芳城园一区 ,1992,26,方庄,705,59899.0
丰台, 南 , 2室1厅 , 90.61, 简装,政馨园二区 ,2004,17,宋家庄,459,50657.0
丰台, 西南 , 3室2厅 , 131.78, 简装,尚西泊图 ,2004,24,太平桥,890,67537.0
丰台, 南 北 , 3室1厅 , 125, 简装,三环新城7号院 ,2004,6,玉泉营,690,55200.0
丰台, 东南 南 北 , 3室1厅 , 73.9, 简装,玉林里小区 ,1993,18,右安门外,520,70366.0
丰台, 南 北 , 3室1厅 , 82.66, 简装,芳星园三区 ,1995,25,方庄,550,66538.0
丰台, 南 , 2室1厅 , 109.02, 简装,庄维花园 ,2002,24,七里庄,580,53202.0
丰台, 南 , 1室1厅 , 42.65, 精装,南顶村 ,1991,6,赵公口,260,60962.0
丰台, 南 , 2室1厅 , 94.77, 精装,和光里 ,2005,16,五里店,458,48328.0
丰台, 西南 , 3室1厅 , 116.53, 精装,怡海花园富润园 ,2001,18,科技园区,665,57067.0
